date	followers	following	medias
2019-12-18 09:37:59	0	3	6
2019-12-18 10:37:59	0	3	6
2019-12-19 00:47:37	0	3	6
2019-12-19 01:47:37	0	3	6
2019-12-19 02:47:37	0	3	6
2019-12-19 03:47:37	0	3	6
2019-12-19 04:47:32	0	3	6
2019-12-19 05:47:37	0	3	6
2019-12-19 06:47:37	0	3	6
2019-12-19 07:47:33	0	3	6
2019-12-19 08:47:38	0	3	6
2019-12-19 09:47:33	0	3	6
2019-12-19 10:47:38	0	3	6
2019-12-19 12:47:38	0	3	6
2019-12-19 13:47:38	0	3	6
2019-12-19 14:47:33	0	3	6
2019-12-19 15:47:33	0	3	6
